?????,?????
2019-10-01,38.26672
2019-10-02,41.908538
2019-10-03,46.326305
2019-10-04,48.795683
2019-10-05,18.768319
2019-10-06,42.011273
2019-10-07,46.170677
2019-10-08,39.293773
2019-10-09,58.395211
2019-10-10,59.373406
2019-10-11,60.910236
2019-10-12,58.970304
2019-10-13,59.164974
2019-10-14,58.869311
2019-10-15,58.561649
2019-10-16,50.684967
2019-10-17,58.432015
2019-10-18,60.711096
2019-10-19,45.621773
2019-10-20,42.418672
2019-10-21,39.675584
2019-10-22,51.573826
2019-10-23,57.557044
2019-10-24,55.017516
2019-10-25,52.727768
2019-10-26,51.572086
2019-10-27,53.918917
2019-10-28,49.606482
2019-10-29,51.920632
2019-10-30,46.48678
2019-10-31,45.267756
2019-11-01,28.88265
2019-11-02,48.384683
2019-11-03,52.590089
2019-11-04,51.843975
2019-11-05,41.961282
2019-11-06,59.416998
2019-11-07,44.372058
2019-11-08,20.717445
2019-11-09,33.115848
2019-11-10,30.932215
2019-11-11,40.007058
2019-11-12,55.104566
2019-11-13,56.148489
2019-11-14,54.745747
2019-11-15,54.790139
2019-11-16,50.480893
2019-11-17,51.222624
2019-11-18,51.894061
2019-11-19,25.382421
2019-11-20,23.085992
2019-11-21,15.246199
2019-11-22,55.289051
2019-11-23,40.597735
2019-11-24,54.691617
2019-11-25,54.047998
2019-11-26,52.275206
2019-11-27,54.712237
2019-11-28,53.170167
2019-11-29,53.404169
2019-11-30,50.554672
2019-12-01,50.938383
2019-12-02,52.100559
2019-12-03,51.011709
2019-12-04,51.164528
2019-12-05,43.343817
2019-12-06,40.147127
2019-12-07,49.104092
2019-12-08,24.402896
2019-12-09,30.557851
2019-12-10,40.042208
2019-12-11,32.591937
2019-12-12,40.87582
2019-12-13,41.13209
2019-12-14,48.140966
2019-12-15,43.704377
2019-12-16,46.319478
2019-12-17,21.875198
2019-12-18,12.62332
2019-12-19,2.143342
2019-12-20,52.214354
2019-12-21,51.002678
2019-12-22,51.651924
2019-12-23,51.084882
2019-12-24,51.950771
2019-12-25,51.147595
2019-12-26,50.371891
2019-12-27,50.780389
2019-12-28,51.184018
2019-12-29,49.2928
2019-12-30,49.712401
2019-12-31,49.363234
